uri,Year,Name,Director,Runtime,Cast,Poster,Countries,Languages,Genres,Watches
293w,2006,The Prestige,Christopher Nolan,130,"['Hugh Jackman', 'Christian Bale', 'Michael Caine', 'Scarlett Johansson', 'Rebecca Hall', 'David Bowie', 'Andy Serkis', 'Piper Perabo', 'Jim Piddock', 'Samantha Mahurin', 'Mark Ryan', 'Jamie Harris', 'Daniel Davis', 'Roger Rees', 'Ricky Jay', 'Christopher Neame', 'Monty Stuart', 'Ron Perkins', 'Anthony De Marco', 'Chao Li Chi', 'John B. Crye', 'William Morgan Sheppard', 'Ezra Buzzington', 'James Lancaster', 'Johnny Liska', 'Russ Fega', 'Kevin Will', 'Edward Hibbert', 'James Otis']",,"['UK', 'USA']",['English'],"['drama', 'mystery', 'science-fiction']",[]
1skk,2010,Inception,Christopher Nolan,148,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ken Watanabe', 'Tom Hardy', 'Elliot Page', 'Dileep Rao', 'Cillian Murphy', 'Tom Berenger', 'Marion Cotillard', 'Pete Postlethwaite', 'Michael Caine', 'Lukas Haas', 'Talulah Riley', 'Tohoru Masamune', 'Taylor Geare', 'Claire Geare', 'Johnathan Geare', 'Yuji Okumoto', 'Earl Cameron', 'Ryan Hayward', 'Miranda Nolan', 'Russ Fega', 'Tim Kelleher', 'Coralie Dedykere', 'Silvie Laguna', 'Virgile Bramly', 'Nicolas Clerc', 'Jean-Michel Dagory', 'Marc Raducci']",,"['UK', 'USA']","['English', 'Japanese', 'Swahili']","['science-fiction', 'action', 'adventure']",[]
6aig,2014,The Imitation Game,Morten Tyldum,113,"['Benedict Cumberbatch', 'Keira Knightley', 'Matthew Goode', 'Rory Kinnear', 'Allen Leech', 'Matthew Beard', 'Charles Dance', 'Mark Strong', 'James Northcote', 'Tom Goodman-Hill', 'Steven Waddington', 'Ilan Goodman', 'Jack Tarlton', 'Alex Lawther', 'Jack Bannon', 'Tuppence Middleton', 'Dominik Charman', 'James G. Nunn', 'Charlie Manton', 'David Charkham', 'Victoria Wicks', 'Andrew Havill', 'Laurence Kennedy', 'Tim van Eyken', 'Will Bowden', 'Miranda Bell', 'Tim Steed', 'Bartosz Wandrykow', 'Hayley Joanne Bacon']",,"['UK', 'USA']",['English'],"['history', 'drama', 'war', 'thriller']",[]
bTpm,2015,The Man Who Knew Infinity,Matt Brown,108,"['Stephen Fry', 'Kevin McNally', 'Dev Patel', 'Devika Bhise', 'Jeremy Northam', 'Anthony Calf', 'Jeremy Irons', 'Pádraic Delaney', 'Shazad Latif', 'Roger Narayan', 'Arundathi Nag', 'Dhritiman Chatterjee', 'Richard Johnson', 'Raghuvir Joshi', 'Toby Jones', 'Malcolm Sinclair', 'San Shella', 'Richard Cunningham', 'Thomas Bewley', 'Pip Barclay', 'David Shaw-Parker', 'Dominic Cazenove', 'Nicholas Agnew', 'Alan Booty', 'Shenagh Govan', 'Alexander Forsyth', 'Enzo Cilenti', 'Elaine Caulfield', 'Alex Bartram']",,"['UK', 'USA']","['English', 'Sanskrit (Saṁskṛta)', 'Tamil']",['drama'],[]
7YtA,2014,The Theory of Everything,James Marsh,123,"['Eddie Redmayne', 'Felicity Jones', 'Charlie Cox', 'Emily Watson', 'Simon McBurney', 'David Thewlis', 'Maxine Peake', 'Harry Lloyd', 'Tom Prior', 'Sophie Perry', 'Finlay Wright-Stephens', 'Alice Orr-Ewing', 'Thomas Morrison', 'Michael Marcus', 'Gruffudd Glyn', 'Paul Longley', 'Guy Oliver-Watts', 'Lucy Chappell', 'Charlotte Hope', 'Abigail Cruttenden', 'Nicholas Gerard-Martin', 'Brett Brown', 'Anthony Skrimshire', 'Christian McKay', 'Adam Godley', 'Nicola Sloane', 'Lottie Hamilton', 'Enzo Cilenti', 'Rufus Taylor']",,['UK'],"['English', 'Latin', 'French', 'Italian']","['drama', 'romance']",[]
hSyO,2020,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Cathy Yan,109,"['Margot Robbie', 'Ewan McGregor', 'Mary Elizabeth Winstead', 'Jurnee Smollett', 'Rosie Perez', 'Chris Messina', 'Ella Jay Basco', 'Ali Wong', 'Matthew Willig', 'Dana Lee', 'Steven Williams', 'Robert Catrini', 'Daniel Bernhardt', 'François Chau', 'Miyuki Matsunaga', 'Anna Mikami', 'Paul Lasa', 'Charlene Amoia', 'Ella Mika', 'Derek Wilson', 'Bojana Novaković', 'Andy Hoff', 'Bruno Oliver', 'Michael Masini', 'Judy Kain', 'David Bianchi', 'Rj Wayne', 'Eddie Alfano', 'Simon Rhee']",,['USA'],['English'],"['action', 'crime']",[]
2aHi,1994,The Shawshank Redemption,Frank Darabont,142,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler', 'Clancy Brown', 'Gil Bellows', 'Mark Rolston', 'James Whitmore', 'Jeffrey DeMunn', 'Larry Brandenburg', 'Neil Giuntoli', 'Brian Libby', 'David Proval', 'Joseph Ragno', 'Jude Ciccolella', 'Paul McCrane', 'Renee Blaine', 'Scott Mann', 'John Horton', 'Gordon Greene', 'Alfonso Freeman', 'V.J. Foster', 'John E. Summers', 'Frank Medrano', 'Mack Miles', 'Alan R. Kessler', 'Morgan Lund', 'Cornell Wallace', 'Gary Lee Davis']",,['USA'],['English'],"['drama', 'crime']","[datetime.datetime(2021, 5, 7, 0, 0)]"
28dA,2008,Iron Man,Jon Favreau,126,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges', 'Gwyneth Paltrow', 'Leslie Bibb', 'Bill Smitrovich', 'Paul Bettany', 'Jon Favreau', 'Shaun Toub', 'Faran Tahir', 'Clark Gregg', 'Peter Billingsley', 'Sayed Badreya', 'Tim Guinee', 'Will Lyman', 'Tom Morello', 'Marco Khan', 'Daston Kalili', 'Ido Mor', 'Kevin Foster', 'Garret Noël', 'Eileen Weisinger', 'Ahmed Ahmed', 'Fahim Fazli', 'Gerard Sanders', 'Tim Rigby', 'Russell Richardson', 'Nazanin Boniadi', 'Thomas Craig Plumer']",,['USA'],"['English', 'Persian\xa0(Farsi)', 'Urdu', 'Arabic']","['adventure', 'science-fiction', 'action']",[]
1WZM,2010,Iron Man 2,Jon Favreau,124,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Sam Rockwell', 'Mickey Rourke', 'Samuel L. Jackson', 'Clark Gregg', 'John Slattery', 'Garry Shandling', 'Paul Bettany', 'Leslie Bibb', 'Kate Mara', 'Jon Favreau', 'Christiane Amanpour', 'Philippe Bergeron', 'James Bethea', 'Michael Bruno', 'Kate Clark', 'Luminita Docan', 'François Duhamel', 'Larry Ellison', 'Adam Goldstein', 'Tim Guinee', 'Eric L. Haney', 'Ali Khan', 'Evgeniy Lazarev', 'Isaiah Guyman Martin IV']",,['USA'],"['English', 'Russian', 'French']","['adventure', 'action', 'science-fiction']",[]
1WQU,2011,Thor,Kenneth Branagh,115,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Stellan Skarsgård', 'Kat Dennings', 'Clark Gregg', 'Colm Feore', 'Idris Elba', 'Ray Stevenson', 'Tadanobu Asano', 'Josh Dallas', 'Jaimie Alexander', 'Rene Russo', 'Adriana Barraza', 'Maximiliano Hernández', 'Richard Cetrone', 'Darren Kendrick', 'Joshua Cox', 'Justice Jesse Smith', 'Joseph Gatt', 'Luke Massy', 'Matthew Ducey', 'Jason Camp', 'Buddy Sosthand', 'Blake Silver', 'Jamie McShane', 'Dale Godboldo', ""Patrick O'Brien Demsey""]",,['USA'],['English'],"['fantasy', 'action', 'adventure']",[]
28b0,2011,Captain America: The First Avenger,Joe Johnston,124,"['Chris Evans', 'Tommy Lee Jones', 'Hugo Weaving', 'Hayley Atwell', 'Sebastian Stan', 'Dominic Cooper', 'Toby Jones', 'Neal McDonough', 'Derek Luke', 'Bruno Ricci', 'JJ Feild', 'Kenneth Choi', 'Richard Armitage', 'Stanley Tucci', 'Samuel L. Jackson', 'Lex Shrapnel', 'Michael Brandon', 'Martin Sherman', 'Natalie Dormer', 'Oscar Pearce', 'William Hope', 'Nicholas Pinnock', 'Marek Oravec', 'David Bradley', 'Leander Deeny', 'Sam Hoare', 'Simon Kunz', ""Kieran O'Connor"", 'Jenna Coleman']",,['USA'],"['English', 'French', 'Norwegian']","['science-fiction', 'action', 'adventure']",[]
1xFW,2012,The Avengers,Joss Whedon,143,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Samuel L. Jackson', 'Cobie Smulders', 'Clark Gregg', 'Stellan Skarsgård', 'Gwyneth Paltrow', 'Paul Bettany', 'Alexis Denisof', 'Tina Benko', 'Jerzy Skolimowski', 'Kirill Nikiforov', 'Jeff Wolfe', ""M'laah Kaur Singh"", 'Rashmi Rustagi', 'Powers Boothe', 'Jenny Agutter', 'Arthur Darbinyan', 'Donald Li', 'Warren Kole', 'Alicia Sixtos', 'Maximiliano Hernández', 'Dieter Riesle', 'Kenneth Tigar']",,['USA'],"['English', 'Hindi', 'Russian']","['science-fiction', 'adventure', 'action']",[]
2cBQ,2013,Iron Man 3,Shane Black,130,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall', 'Jon Favreau', 'Ben Kingsley', 'Stephanie Szostak', 'James Badge Dale', 'William Sadler', 'Miguel Ferrer', 'Dale Dickey', 'Ty Simpkins', 'Paul Bettany', 'Wang Xueqi', 'Shaun Toub', 'Matthew Sterling Nye', 'Pat Kiernan', 'Josh Elliott', 'Megan Henderson', 'Thomas Roberts', 'Bill Maher', 'Joan Rivers', 'George Kotsiopoulos', ""Bronte D'Esposito"", 'Noah Visconti', 'Ashley Hamilton', 'Brooke Jayne Taylor', 'Kim Dean']",,['USA'],['English'],"['action', 'adventure', 'science-fiction']",[]
2DqA,2013,Thor: The Dark World,Alan Taylor,112,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Christopher Eccleston', 'Jaimie Alexander', 'Zachary Levi', 'Ray Stevenson', 'Tadanobu Asano', 'Idris Elba', 'Rene Russo', 'Adewale Akinnuoye-Agbaje', 'Kat Dennings', 'Stellan Skarsgård', 'Alice Krige', 'Clive Russell', 'Jonathan Howard', 'Ramone Morgan', 'Obada Alassadi', 'Imaan Chentouf', 'Claire Brown', 'Henry Calcutt', 'Ava Caton', 'Abbie McCann', 'Thomas Arnold', 'Sam Swainsbury', 'Connor Donaghey', 'Royce Pierreson', 'Annabel Norbury']",,['USA'],['English'],"['fantasy', 'action', 'adventure']",[]
3r58,2014,Captain America: The Winter Soldier,"Anthony Russo, Joe Russo",136,"['Chris Evans', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Cobie Smulders', 'Frank Grillo', 'Emily VanCamp', 'Hayley Atwell', 'Robert Redford', 'Samuel L. Jackson', 'Toby Jones', 'Jenny Agutter', 'Maximiliano Hernández', 'Georges St-Pierre', 'Callan Mulvey', 'Alan Dale', 'Chin Han', 'Bernard White', 'Garry Shandling', 'Danny Pudi', 'D.C. Pierson', 'Gary Sinise', 'Ed Brubaker', 'Joe Russo', 'Christopher Markus', 'Stephen McFeely', 'Salvator Xuereb', 'Brian Duffy']",,['USA'],['English'],"['action', 'adventure', 'science-fiction']",[]
3VH2,2014,Guardians of the Galaxy,James Gunn,121,"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Lee Pace', 'Michael Rooker', 'Karen Gillan', 'Djimon Hounsou', 'John C. Reilly', 'Glenn Close', 'Benicio del Toro', 'Laura Haddock', 'Sean Gunn', 'Peter Serafinowicz', 'Christopher Fairbank', 'Krystian Godlewski', 'Wyatt Oleff', 'Gregg Henry', 'Janis Ahern', 'Solomon Mousley', 'Lindsay Morton', 'Robert Firth', 'Melia Kreiling', 'Tom Proctor', 'Nick Holmes', 'Max Wrottesley', 'Nicole Alexandra Shipley']",,['USA'],['English'],"['adventure', 'action', 'science-fiction']",[]
3qi6,2015,Avengers: Age of Ultron,Joss Whedon,141,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'James Spader', 'Samuel L. Jackson', 'Don Cheadle', 'Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Paul Bettany', 'Cobie Smulders', 'Anthony Mackie', 'Hayley Atwell', 'Idris Elba', 'Linda Cardellini', 'Stellan Skarsgård', 'Claudia Kim', 'Thomas Kretschmann', 'Andy Serkis', 'Julie Delpy', 'Henry Goodman', 'Chris Luca', 'Brian Schaeffer', 'Dominique Provost-Chalkley', 'Isaac Andrews', 'Gareth Kieran Jones']",,['USA'],['English'],"['science-fiction', 'action', 'adventure']",[]
3vmW,2015,Ant-Man,Peyton Reed,117,"['Paul Rudd', 'Michael Douglas', 'Evangeline Lilly', 'Bobby Cannavale', 'Corey Stoll', 'Anthony Mackie', 'Judy Greer', 'Abby Ryder Fortson', 'Michael Peña', 'David Dastmalchian', 'T.I.', 'Wood Harris', 'Hayley Atwell', 'John Slattery', 'Martin Donovan', 'Garrett Morris', 'Gregg Turkington', 'Rod Hallett', 'Joe Chrest', 'Joe Bucaro III', 'Jean Louisa Kelly', 'Dax Griffin', 'Hayley Lovitt', 'Anna Akana', 'Tom Kenny', 'Norma Alvarez', 'Darcie Isabella Cottrell', 'Teddy Williams']",,['USA'],['English'],"['adventure', 'science-fiction', 'action']",[]
89Ja,2016,Captain America: Civil War,"Anthony Russo, Joe Russo",147,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Don Cheadle', 'Jeremy Renner', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Paul Rudd', 'Emily VanCamp', 'Tom Holland', 'Daniel Brühl', 'Frank Grillo', 'William Hurt', 'Martin Freeman', 'Marisa Tomei', 'John Kani', 'John Slattery', 'Hope Davis', 'Alfre Woodard', 'Michael A. Cook', 'Laughton Parchment', 'Jackson Spidell', 'Yi Long', 'Heidi Moneymaker', 'Aaron Toney', 'Cale Schultz']",,['USA'],"['English', 'Romanian', 'German', 'Russian']","['action', 'science-fiction', 'adventure']",[]
8MH8,2016,Doctor Strange,Scott Derrickson,115,"['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams', 'Benedict Wong', 'Mads Mikkelsen', 'Tilda Swinton', 'Michael Stuhlbarg', 'Benjamin Bratt', 'Scott Adkins', 'Zara Phythian', 'Alaa Safi', 'Katrina Durden', 'Topo Wresniwiro', 'Umit Ulgen', 'Linda Louise Duan', 'Mark Anthony Brighton', 'Meera Syal', 'Amy Landecker', 'Adam Pelta-Pauls', 'Sarah Malin', 'Eben Young', 'Kobna Holdbrook-Smith', 'Elizabeth Healey', 'Guillaume Faure', 'Daniel Dow', 'Ezra Khan', 'Kimberly Van Luin', 'Pat Kiernan']",,['USA'],['English'],"['fantasy', 'action', 'adventure']",[]
8MxC,2017,Guardians of the Galaxy Vol. 2,James Gunn,137,"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Kurt Russell', 'Michael Rooker', 'Karen Gillan', 'Pom Klementieff', 'Sylvester Stallone', 'Elizabeth Debicki', 'Chris Sullivan', 'Sean Gunn', 'Tommy Flanagan', 'Laura Haddock', 'Aaron Schwartz', 'Hannah Gottesman', 'Hilty Bowen', 'Ben Browder', 'Alexander Klein', 'Luke Cook', 'Evan Jones', 'Joe Fria', 'Terence Rosemore', 'Jimmy Urine', 'Stephen Blackehart', 'Steve Agee', 'Blondy Baruti', 'Richard Christy']",,['USA'],['English'],"['science-fiction', 'action', 'adventure']",[]
aboM,2017,Spider-Man: Homecoming,Jon Watts,133,"['Tom Holland', 'Michael Keaton', 'Robert Downey Jr.', 'Marisa Tomei', 'Jon Favreau', 'Gwyneth Paltrow', 'Zendaya', 'Donald Glover', 'Jacob Batalon', 'Laura Harrier', 'Tony Revolori', 'Bokeem Woodbine', 'Tyne Daly', 'Abraham Attah', 'Hannibal Buress', 'Kenneth Choi', 'Selenis Leyva', 'Angourie Rice', 'Martin Starr', 'Garcelle Beauvais', 'Michael Chernus', 'Michael Mando', 'Logan Marshall-Green', 'Jennifer Connelly', 'Gary Weeks', 'Christopher Berry', 'Jorge Lendeborg Jr.', 'Tunde Adebimpe', 'Tiffany Espensen']",,['USA'],['English'],"['science-fiction', 'action', 'adventure', 'drama']",[]
8MHi,2017,Thor: Ragnarok,Taika Waititi,131,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Tessa Thompson', 'Jeff Goldblum', 'Idris Elba', 'Karl Urban', 'Mark Ruffalo', 'Anthony Hopkins', 'Benedict Cumberbatch', 'Taika Waititi', 'Rachel House', 'Clancy Brown', 'Tadanobu Asano', 'Ray Stevenson', 'Zachary Levi', 'Georgia Blizzard', 'Amali Golden', 'Luke Hemsworth', 'Sam Neill', 'Matt Damon', 'Charlotte Nicdao', 'Ashley Ricardo', 'Shalom Brune-Franklin', 'Taylor Hemsworth', 'Cohen Holloway', ""Alia Seror-O'Neill"", 'Sophia Laryea']",,['USA'],['English'],"['adventure', 'action', 'science-fiction', 'fantasy']",[]
8MHs,2018,Black Panther,Ryan Coogler,135,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira', 'Martin Freeman', 'Daniel Kaluuya', 'Letitia Wright', 'Winston Duke', 'Sterling K. Brown', 'Florence Kasumba', 'John Kani', 'Angela Bassett', 'Forest Whitaker', 'Andy Serkis', 'David S. Lee', 'Nabiyah Be', 'Isaach De Bankolé', 'Connie Chiume', 'Dorothy  Steel', 'Danny Sapani', 'Sydelle Noel', 'Marija Abney', 'Zola Williams', 'Janeshia Adams-Ginyard', 'Maria Hippolyte', 'Marie Mouroum', 'Jénel Stevens', 'Sope Aluko']",,['USA'],"['English', 'Korean', 'Swahili', 'Xhosa']","['action', 'adventure', 'science-fiction']",[]
9vEe,2018,Avengers: Infinity War,"Anthony Russo, Joe Russo",149,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Benedict Cumberbatch', 'Tom Holland', 'Chadwick Boseman', 'Don Cheadle', 'Zoe Saldaña', 'Karen Gillan', 'Elizabeth Olsen', 'Paul Bettany', 'Anthony Mackie', 'Sebastian Stan', 'Tom Hiddleston', 'Idris Elba', 'Danai Gurira', 'Peter Dinklage', 'Benedict Wong', 'Pom Klementieff', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Gwyneth Paltrow', 'Benicio del Toro', 'Josh Brolin', 'Chris Pratt', 'Sean Gunn']",,['USA'],"['English', 'Xhosa']","['adventure', 'action', 'science-fiction']",[]
cqUW,2018,Ant-Man and the Wasp,Peyton Reed,119,"['Paul Rudd', 'Evangeline Lilly', 'Michael Peña', 'Walton Goggins', 'Bobby Cannavale', 'Judy Greer', 'T.I.', 'David Dastmalchian', 'Hannah John-Kamen', 'Abby Ryder Fortson', 'Randall Park', 'Michelle Pfeiffer', 'Laurence Fishburne', 'Michael Douglas', 'Divian Ladwa', 'Goran Kostić', 'Rob Archer', 'Sean Kleier', 'Benjamin Byron Davis', 'Michael Cerveris', 'Riann Steele', 'Dax Griffin', 'Hayley Lovitt', 'Langston Fishburne', 'RaeLynn Bratten', 'Madeleine McGraw', 'Tim Heidecker', 'Charles Justo']",,['USA'],['English'],"['science-fiction', 'adventure', 'action']",[]
9vSA,2019,Captain Marvel,"Ryan Fleck, Anna Boden",124,"['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Jude Law', 'Annette Bening', 'Djimon Hounsou', 'Lee Pace', 'Lashana Lynch', 'Gemma Chan', 'Clark Gregg', 'Rune Temte', 'Algenis Perez Soto', 'Mckenna Grace', 'Akira Akbar', 'Matthew Maher', 'Chuku Modu', 'Vik Sahay', 'Colin Ford', 'Kenneth Mitchell', 'Stephen A. Chang', 'Pete Ploszek', ""Matthew 'Spider' Kimmel"", ""Stephen 'Cajun' Del Bagno"", 'London Fuller', 'Azari Akbar', 'Mark Daugherty', 'Diana Toshiko', 'Barry Curtis', 'Emily Ozrey']",,['USA'],['English'],"['science-fiction', 'action', 'adventure']",[]
9vE4,2019,Avengers: Endgame,"Anthony Russo, Joe Russo",181,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Benedict Cumberbatch', 'Chadwick Boseman', 'Brie Larson', 'Tom Holland', 'Karen Gillan', 'Zoe Saldaña', 'Evangeline Lilly', 'Tessa Thompson', 'Rene Russo', 'Elizabeth Olsen', 'Anthony Mackie', 'Sebastian Stan', 'Tom Hiddleston', 'Danai Gurira', 'Benedict Wong', 'Pom Klementieff', 'Dave Bautista', 'Letitia Wright', 'John Slattery', 'Tilda Swinton', 'Jon Favreau']",,['USA'],"['English', 'Japanese', 'Xhosa']","['adventure', 'science-fiction', 'action']",[]
fegG,2019,Spider-Man: Far From Home,Jon Watts,129,"['Tom Holland', 'Samuel L. Jackson', 'Jake Gyllenhaal', 'Marisa Tomei', 'Jon Favreau', 'Zendaya', 'Jacob Batalon', 'Tony Revolori', 'Angourie Rice', 'Remy Hii', 'Martin Starr', 'J.B. Smoove', 'Jorge Lendeborg Jr.', 'Cobie Smulders', 'Numan Acar', 'Zach Barack', 'Zoha Rahman', 'Yasmin Mwanza', 'Joshua Sinclair-Evans', 'Tyler Luke Cunningham', 'Sebastián Viveros', 'Toni Garrn', 'Peter Billingsley', 'Clare Dunne', 'Nicholas Gleaves', 'Claire Rushbrook', 'J.K. Simmons', 'Dawn Michelle King', 'Jeroen van Koningsbrugge']",,['USA'],"['English', 'Czech', 'Dutch', 'German', 'Italian']","['adventure', 'science-fiction', 'action']",[]
sbGW,2021,WandaVision,Matt Shakman,350,"['Elizabeth Olsen', 'Paul Bettany', 'Kathryn Hahn', 'Teyonah Parris', 'Randall Park', 'Kat Dennings']",,['USA'],['English'],"['mystery', 'drama']","[datetime.datetime(2021, 3, 12, 0, 0)]"
sbH6,2021,The Falcon and the Winter Soldier,Kari Skogland,300,"['Anthony Mackie', 'Sebastian Stan', 'Wyatt Russell', 'Erin Kellyman', 'Daniel Brühl', 'Emily VanCamp', 'Danny Ramirez', 'Adepero Oduye']",,['USA'],"['English', 'German']",['drama'],"[datetime.datetime(2021, 4, 16, 0, 0)]"
gBtA,2020,Wonder Woman 1984,Patty Jenkins,151,"['Gal Gadot', 'Chris Pine', 'Kristen Wiig', 'Pedro Pascal', 'Robin Wright', 'Connie Nielsen', 'Lilly Aspell', 'Amr Waked', 'Kristoffer Polaha', 'Natasha Rothwell', 'Ravi Patel', 'Oliver Cotton', 'Lucian Perez', 'Gabriella Wilde', 'Kelvin Yu', 'Stuart Milligan', 'Shane Attwooll', 'David Al-Fahmi', 'Kevin Wallace', 'Wai Wong', 'Doutzen Kroes', 'Hari James', 'Betty Adewole', 'Camilla Roholm', 'Jessie Graff', 'Brontë Lavine', 'Briony Scarlett', 'Jade Johnson', 'Miranda Chambers']",,['USA'],['English'],"['adventure', 'action', 'fantasy']","[datetime.datetime(2021, 1, 8, 0, 0)]"
9roG,2017,Wonder Woman,Patty Jenkins,141,"['Gal Gadot', 'Chris Pine', 'Connie Nielsen', 'Robin Wright', 'Danny Huston', 'David Thewlis', 'Saïd Taghmaoui', 'Ewen Bremner', 'Eugene Brave Rock', 'Lucy Davis', 'Elena Anaya', 'Lilly Aspell', 'Lisa Loven Kongsli', 'Ann Wolfe', 'Ann Ogbomo', 'Emily Carey', 'James Cosmo', 'Wolf Kahler', 'Alexander Mercury', 'Martin Bishop', 'Flora Nicholson', 'Pat Abernethy', 'Freddy Elletson', 'Sammy Hayman', 'Michael Tantrum', 'Philippe Spall', 'Edward Wolstenholme', 'Ian Hughes', 'Marko Leht']",,['USA'],"['English', 'German']","['adventure', 'action', 'fantasy']",[]
9ru0,2018,Aquaman,James Wan,143,"['Jason Momoa', 'Amber Heard', 'Willem Dafoe', 'Patrick Wilson', 'Nicole Kidman', 'Dolph Lundgren', 'Yahya Abdul-Mateen II', 'Temuera Morrison', 'Ludi Lin', 'Michael Beach', 'Randall Park', 'Graham McTavish', 'Leigh Whannell', 'Tainui Kirkwood', 'Tamor Kirkwood', 'Denzel Quirke', 'Kaan Guldur', 'Otis Dhanji', 'Kekoa Kekumano', 'Julie Andrews', 'John Rhys-Davies', 'Djimon Hounsou', 'Andrew Crawford', 'Sophia Forrest', 'Natalia Safran', 'Micah Ohlman', 'Jack Andrew', 'Frankie Creagh-Leslie', 'Sophia Emberson-Bain']",,"['Australia', 'USA']",['English'],"['action', 'adventure', 'fantasy']",[]
7Piy,2017,Logan,James Mangold,137,"['Hugh Jackman', 'Dafne Keen', 'Patrick Stewart', 'Elizabeth Rodriguez', 'Boyd Holbrook', 'Stephen Merchant', 'Richard E. Grant', 'Stephen Dunlevy', 'Eriq La Salle', 'Elise Neal', 'Quincy Fouse', 'Al Coronel', 'Frank Gallegos', 'Anthony Escobar', 'Reynaldo Gallegos', 'Krzysztof Soszynski', 'Daniel Bernhardt', 'Ryan Sturz', 'Jef Groff', 'Brandon Melendy', 'Oren Hawxhurst', 'Jeremy Fitzgerald', 'Chris Palermo', ""Paul Andrew O'Connor"", 'Clinton Roberts', 'Rocky Abou-Sakher', 'Keith Jardine', 'Jean Claude Leuyer', 'Andrew Arrabito']",,['USA'],"['English', 'Spanish']","['action', 'science-fiction', 'drama']",[]
2CWU,2013,The Wolverine,James Mangold,126,"['Hugh Jackman', 'Tao Okamoto', 'Rila Fukushima', 'Hiroyuki Sanada', 'Famke Janssen', 'Svetlana Khodchenkova', 'Brian Tee', 'Hal Yamanouchi', 'Will Yun Lee', 'Ken Yamamura', 'Nobutaka Aoyagi', 'Seiji Funamoto', 'Shinji Ikefuji', 'Qyoko Kudo', 'Nobuaki Kakuda', 'Chiharu Mizuno', 'Takao Kinoshita', 'Conrad Coleby', 'Taris Tyler', 'Sarah Naylor-Liddell', 'Joshua Remilton', 'Andy Owens', 'Allan Poppleton', 'Geoff Burke', 'Yasuyo Shiba', 'Mai Ishikawa', 'Yaeko Kimura', 'Ryuta Kimura', 'Briden Starr']",,['USA'],"['English', 'Japanese']","['adventure', 'science-fiction', 'action', 'fantasy']",[]
4aRw,2014,X-Men: Days of Future Past,Bryan Singer,132,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult', 'Patrick Stewart', 'Ian McKellen', 'Halle Berry', 'Elliot Page', 'Peter Dinklage', 'Anna Paquin', 'Evan Peters', 'Josh Helman', 'Shawn Ashmore', 'Omar Sy', 'Daniel Cudmore', 'Fan Bingbing', 'Adan Canto', 'Booboo Stewart', 'Evan Jonigkeit', 'Famke Janssen', 'James Marsden', 'Kelsey Grammer', 'Lucas Till', 'Mark Camacho', 'Zehra Leverman', 'Alexander Felici', 'Jan Gerste', 'Massimo Cannistraro']",,['USA'],"['English', 'French', 'Russian', 'Vietnamese']","['adventure', 'action', 'fantasy', 'science-fiction']",[]
